Ingredient,Measure,IngredientNumber,idDrink
Mint,1/2 handful ,1,15841
Milk,2 cups ,1,12724
Gin,1 1/2 oz ,1,11959
Creme de Cacao,1/2 oz white ,1,11872
Strawberry schnapps,2 oz ,1,17839
Wild Turkey,1 oz ,1,15006
Lime juice,4 cl ,1,12706
Coffee,6 oz ,1,14209
Coffee,3 parts ,1,15409
Sweet Vermouth,1 1/2 oz ,1,11121
Elderflower cordial,2 tsp,1,178360
Kahlua,1/3 shot ,1,13332
Vodka,2 oz ,1,16967
Beer,,1,15691
Vodka,2 cl Smirnoff ,1,13423
Water,3/4 cup ,1,12862
Jack Daniels,1/3 oz ,1,13899
Water,2 cups ,1,12800
Amaretto,1 part ,1,14306
Absinthe,2/5 ,1,16196
Ginger,1 inch ,1,12720
Black Sambuca,25 ml ,1,15761
Grenadine,1 tblsp ,1,11961
Ricard,3 cl,1,178370
Sugar syrup,2 tsp ,1,12630
Milk,2 cups ,1,12750
Tequila,4.5 cl,1,17216
Tomato juice,2 cups ,1,12726
Coffee,1 part ,1,12764
Lager,1/2 pint ,1,13128
Rum,3 parts,1,17267
Lemon juice,5 cl ,1,12618
Gin,1 shot,1,178330
Yoghurt,1 cup ,1,12728
Light rum,1 1/2 oz ,1,11064
Tequila,2 oz ,1,12370
Gin,50 ml,1,17245
Vodka,1 1/2 oz ,1,12452
Vodka,2 oz ,1,15403
Gin,1/2 oz,1,15300
Vodka,2 oz ,1,15675
Sweet Vermouth,3/4 oz ,1,11664
Gin,1 1/2 oz ,1,11120
Hot Chocolate,4 oz,1,17825
Tea,1 quart black ,1,12870
Grenadine,,1,13066
Coffee liqueur,3/4 oz ,1,11102
Brandy,2 oz ,1,11251
151 proof rum,5 oz Bacardi ,1,13936
Absolut Vodka,1 1/2 oz ,1,15597
Coffee,1/4 cup instant ,1,12770
Apricot brandy,1/2 oz ,1,11034
Kahlua,1 oz ,1,14642
Midori melon liqueur,1/2 oz ,1,13395
Strawberries,1 1/2 cup ,1,12722
Gin,2 oz dry ,1,13940
Gin,1 1/2 oz ,1,17186
Tequila,1 2/3 oz,1,178347
Brandy,2 oz ,1,11170
Coffee,,1,12780
Egg,6 ,1,12914
Johnnie Walker,1 fifth ,1,12854
Light rum,1 oz ,1,17832
Gin,1 1/2 oz,1,17256
Gin,2 oz ,1,11052
Vodka,1 1/2 oz ,1,13539
Vodka,5 cl ,1,13196
Gin,1 1/2 oz ,1,17197
Lager,1 bottle ,1,16047
Absolut Vodka,2 shots ,1,14584
Yoghurt,2 cups ,1,12694
Campari,1 oz,1,17251
Gin,2 jiggers ,1,16178
151 proof rum,2 oz light ,1,17006
Irish cream,1/2 oz ,1,13222
Coffee,1/2 cup black ,1,12768
Gold rum,6 cl,1,178317
Vodka,1/2 ,1,15567
Dark rum,1 shot ,1,15346
Gin,2 shots ,1,17223
Galliano,2 parts,1,17199
Sweet Vermouth,3/4 oz ,1,11008
Chocolate liqueur,1/2 shot ,1,13328
Amaretto,1 cl ,1,14578
Amaretto,2 oz ,1,14065
Red wine,1/3 part ,1,17141
Aperol,100 ml,1,178325
Jägermeister,1/2 oz ,1,14688
Gin,1 1/2 oz ,1,11149
Ouzo,1 part ,1,12760
Amaretto,1 oz ,1,13202
Pisco,5 cl,1,17182
Frangelico,1 part ,1,17122
Gin,2 oz ,1,11417
Dry Vermouth,1 oz ,1,11022
Campari,1 oz ,1,15941
Vodka,2.5 cl,1,17214
Tequila,1 oz ,1,11112
Gin,1 1/2 oz ,1,11396
Light rum,1 1/2 oz ,1,11798
Gin,2 oz ,1,11634
Tequila,full glass ,1,14602
Amaretto,3/4 oz ,1,16082
Lager,16 oz ,1,15423
Light rum,2 oz ,1,11222
Gin,2 oz ,1,17230
Light rum,2 oz ,1,17831
Gin,1/2 oz ,1,11014
Light rum,1 1/2 oz ,1,12091
Heavy cream,2 oz ,1,12736
Gin,1 1/2 oz ,1,11938
Sambuca,,2,14466
Vodka,1750 ml ,2,16992
Carbonated water,1 oz ,2,11416
White Creme de Menthe,3/4 oz ,2,14842
Pineapple Juice,1 oz,2,178319
Midori melon liqueur,3/4 oz ,2,14360
Dry Vermouth,1 shot ,2,17227
Grapefruit juice,1 oz ,2,17833
Orange,1 slice ,2,16295
Cherry liqueur,2 oz ,2,13072
Water,1 1/4 cup cold ,2,12690
Coffee,1 part ,2,14860
Water,1 tsp ,2,11145
Coffee liqueur,1 oz ,2,12528
Green Creme de Menthe,1 tsp ,2,11053
Maraschino Cherry,15 ml,2,17239
Vodka,1.5 cl,2,17218
Blackberry brandy,1 oz ,2,16250
Sugar,2 tblsp ,2,13206
Vodka,1/2 oz ,2,13192
Orange Curacao,3/4 oz,2,17249
Lime,1 ,2,11026
Apple,2 ,2,12710
Yoghurt,2 cups ,2,12698
Coca-Cola,1 can ,2,16447
Butterscotch schnapps,1 oz ,2,14053
Apricot Nectar,1 shot,2,178328
Brown sugar,3/4-1 cup ,2,12856
Benedictine,1/2 oz ,2,11604
Wild Turkey,1 oz ,2,14610
Lillet,1 oz,2,17248
