idDrink,strDrink,strCategory,strAlcoholic,strGlass,strInstructions,strDrinkThumb,strTags,dateModified
15521,Swedish Coffee,Coffee / Tea,Alcoholic,Coffee Mug,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning),https://www.thecocktaildb.com/images/media/drink/ywtrvt1441246783.jpg,,2015-09-03 03:19:43
12864,Apple Cider Punch,Punch / Party Drink,Optional alcohol,Collins Glass,"If you use the whole all spice and cloves, tie them in cheesecloth. Heat the mixture. Stir occasionally. If you want an alcoholic drink, rum would be nice.",https://www.thecocktaildb.com/images/media/drink/xrqxuv1454513218.jpg,,2016-02-03 15:26:58
11124,Boomerang,Ordinary Drink,Alcoholic,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,,2017-09-02 22:59:12
13086,Atomic Lokade,Ordinary Drink,Alcoholic,Collins Glass,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste",https://www.thecocktaildb.com/images/media/drink/n3zfrh1493067412.jpg,,2017-04-24 21:56:52
12668,Egg Cream,Other / Unknown,Non alcoholic,Coffee mug,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",https://www.thecocktaildb.com/images/media/drink/mvis731484430445.jpg,,2017-01-14 21:47:26
17118,Arctic Mouthwash,Punch / Party Drink,Alcoholic,Cocktail glass,Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.,https://www.thecocktaildb.com/images/media/drink/wqstwv1478963735.jpg,,2016-11-12 15:15:35
14374,Absolut Evergreen,Other / Unknown,Alcoholic,Collins Glass,"Mix, pour over ice and top up with Bitter Lemon.",https://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,,2016-09-02 11:36:49
12790,Absinthe #2,Homemade Liqueur,Alcoholic,Jar,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",https://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,,2016-08-31 19:13:17
14560,A.D.M. (After Dinner Mint),Cocktail,Alcoholic,Irish coffee cup,shake vigorously,https://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,,2016-08-31 19:53:20
13198,Quick F**K,Shot,Alcoholic,Shot glass,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream",https://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg,,2016-11-12 15:10:54
11338,English Highball,Ordinary Drink,Alcoholic,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,,2017-09-04 11:09:12
17209,Barracuda,Ordinary Drink,Alcoholic,Margarita glass,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,"IBA,NewEra",2017-09-02 18:12:17
