Entity,Code,Year,Leading cancer types causing death in males
Bahrain,BHR,1998,Trachea and bronchus and lung
Bahrain,BHR,1999,Trachea and bronchus and lung
Bahrain,BHR,2000,Trachea and bronchus and lung
Bahrain,BHR,2001,Trachea and bronchus and lung
Bahrain,BHR,2002,Trachea and bronchus and lung
Bahrain,BHR,2003,Trachea and bronchus and lung
Bahrain,BHR,2004,Trachea and bronchus and lung
Bahrain,BHR,2005,Trachea and bronchus and lung
Bahrain,BHR,2006,Trachea and bronchus and lung
Bahrain,BHR,2007,Trachea and bronchus and lung
Bahrain,BHR,2008,Trachea and bronchus and lung
Bahrain,BHR,2009,Trachea and bronchus and lung
Bahrain,BHR,2010,Trachea and bronchus and lung
Bahrain,BHR,2011,Trachea and bronchus and lung
Bahrain,BHR,2012,Trachea and bronchus and lung
Bahrain,BHR,2013,Trachea and bronchus and lung
Bahrain,BHR,2014,Trachea and bronchus and lung
Barbados,BRB,1960,Other malignant neoplasms
Barbados,BRB,1961,Other malignant neoplasms
Barbados,BRB,1962,Other malignant neoplasms
Barbados,BRB,1963,Stomach
Barbados,BRB,1964,Other malignant neoplasms
Barbados,BRB,1966,Other malignant neoplasms
Barbados,BRB,1967,Stomach
Barbados,BRB,1968,Stomach
Barbados,BRB,1969,Other malignant neoplasms
Barbados,BRB,1970,Other malignant neoplasms
Barbados,BRB,1971,Other malignant neoplasms
Barbados,BRB,1972,Other malignant neoplasms
Barbados,BRB,1973,Other malignant neoplasms
Barbados,BRB,1974,Prostate
Barbados,BRB,1975,Stomach
Barbados,BRB,1976,Other malignant neoplasms
Barbados,BRB,1977,Stomach
Barbados,BRB,1978,Other malignant neoplasms
Barbados,BRB,1979,Prostate
Barbados,BRB,1980,Prostate
Barbados,BRB,1981,Prostate
Barbados,BRB,1982,Stomach
Barbados,BRB,1983,Prostate
Barbados,BRB,1984,Prostate
Barbados,BRB,1985,Prostate
Barbados,BRB,1986,Prostate
Barbados,BRB,1987,Prostate
Barbados,BRB,1988,Prostate
Barbados,BRB,1989,Prostate
Barbados,BRB,1990,Prostate
Barbados,BRB,1991,Prostate
Barbados,BRB,1992,Prostate
Barbados,BRB,1993,Prostate
Barbados,BRB,1994,Prostate
Barbados,BRB,1995,Prostate
Barbados,BRB,2000,Prostate
Barbados,BRB,2001,Prostate
Barbados,BRB,2002,Prostate
Barbados,BRB,2003,Prostate
Barbados,BRB,2004,Prostate
Barbados,BRB,2005,Prostate
Barbados,BRB,2006,Prostate
Barbados,BRB,2007,Prostate
Barbados,BRB,2008,Prostate
Barbados,BRB,2009,Prostate
Barbados,BRB,2010,Prostate
Barbados,BRB,2011,Prostate
Barbados,BRB,2012,Prostate
Barbados,BRB,2013,Prostate
Belarus,BLR,1981,Stomach
Belarus,BLR,1982,Stomach
Belarus,BLR,1985,Trachea and bronchus and lung
Belarus,BLR,1986,Trachea and bronchus and lung
Belarus,BLR,1987,Trachea and bronchus and lung
Belarus,BLR,1988,Trachea and bronchus and lung
Belarus,BLR,1989,Trachea and bronchus and lung
Belarus,BLR,1990,Trachea and bronchus and lung
Belarus,BLR,1991,Trachea and bronchus and lung
Belarus,BLR,1992,Trachea and bronchus and lung
Belarus,BLR,1993,Trachea and bronchus and lung
Belarus,BLR,1994,Trachea and bronchus and lung
Belarus,BLR,1995,Trachea and bronchus and lung
Belarus,BLR,1996,Trachea and bronchus and lung
Belarus,BLR,1997,Trachea and bronchus and lung
Belarus,BLR,1998,Trachea and bronchus and lung
Belarus,BLR,1999,Trachea and bronchus and lung
Belarus,BLR,2000,Trachea and bronchus and lung
Belarus,BLR,2001,Trachea and bronchus and lung
Belarus,BLR,2002,Trachea and bronchus and lung
Belarus,BLR,2003,Trachea and bronchus and lung
Belarus,BLR,2007,Trachea and bronchus and lung
Belarus,BLR,2008,Trachea and bronchus and lung
Belarus,BLR,2009,Trachea and bronchus and lung
Belarus,BLR,2010,Trachea and bronchus and lung
Belarus,BLR,2011,Trachea and bronchus and lung
Belarus,BLR,2013,Trachea and bronchus and lung
