subjet,eda,bvp,temp,x,y,z,emotion
1,0.28,-6.84,26.97,51,34,19,0
1,0.27,-6.4,26.97,50,34,19,0
1,0.27,-10.94,26.97,52,34,19,0
1,0.27,9.12,26.97,51,34,20,0
1,0.27,9.23,26.97,47,34,19,0
1,0.27,-3.2,26.97,49,34,20,0
1,0.28,-12.92,26.97,53,33,23,0
1,0.27,22.14,26.97,51,33,22,0
1,0.28,36.07,26.97,51,33,22,0
1,0.27,-11.05,26.97,51,34,20,0
1,0.28,-0.15,26.97,50,34,22,0
1,0.27,1.84,26.97,55,33,23,0
1,0.28,-4.98,26.97,52,33,22,0
1,0.27,0.7,26.97,51,33,23,0
1,0.27,-9.95,26.97,51,33,21,0
1,0.27,6.53,26.97,42,32,23,0
1,0.27,-1.48,26.95,52,32,26,0
1,0.27,-4.66,26.95,53,32,27,0
1,0.27,7.66,26.95,47,32,23,0
1,0.27,2.54,26.95,51,32,24,0
1,0.27,3.09,26.99,51,31,21,0
1,0.27,-12.63,26.99,49,32,23,0
1,0.27,-41.04,26.99,51,32,24,0
1,0.27,15.37,26.99,51,32,24,0
1,0.27,30.19,26.99,51,32,24,0
1,0.27,12.5,26.99,51,32,24,0
1,0.27,-1.72,26.99,50,32,24,0
1,0.27,-15.73,26.99,51,32,25,0
1,0.27,10.76,26.99,51,32,25,0
1,0.28,-11.98,26.99,50,31,25,0
1,0.27,5.06,26.99,53,32,22,0
1,0.28,-6.13,26.99,51,32,23,0
1,0.27,-1.67,27.01,51,32,24,0
1,0.27,-0.97,27.01,51,32,24,0
1,0.28,1.93,27.01,49,32,23,0
1,0.27,-2.03,27.01,49,31,25,0
1,0.27,-4.64,27.03,50,32,24,0
1,0.27,-7.09,27.03,49,32,22,0
1,0.27,9.27,27.03,51,32,23,0
1,0.27,-10.67,27.03,51,32,23,0
1,0.27,2.79,26.99,52,32,22,0
1,0.27,6.74,26.99,53,32,22,0
1,0.27,-1.69,26.99,52,32,21,0
1,0.27,0.24,26.99,51,32,22,0
1,0.28,-1.57,27.01,52,32,21,0
1,0.27,6.95,27.01,52,32,22,0
1,0.28,3.25,27.01,53,32,21,0
1,0.27,4.39,27.01,52,32,23,0
1,0.28,-2.94,27.03,52,32,22,0
1,0.27,-4.25,27.03,53,32,20,0
1,0.27,-4.66,27.03,51,32,20,0
1,0.27,-4.45,27.03,52,32,22,0
1,0.27,8.48,27.03,52,32,22,0
1,0.28,12.37,27.03,51,32,22,0
1,0.27,5.39,27.03,51,32,23,0
1,0.28,1.28,27.03,51,32,22,0
1,0.27,-5.59,27.03,52,32,22,0
1,0.27,-9.49,27.03,51,32,23,0
1,0.27,-6.72,27.03,52,32,22,0
1,0.27,-3.88,27.03,51,32,22,0
1,0.27,3.64,27.03,51,32,23,0
1,0.27,4.43,27.03,50,32,22,0
1,0.27,-0.34,27.03,58,33,20,0
1,0.28,2.47,27.03,52,34,15,0
1,0.27,-1.96,27.05,58,26,15,0
1,0.27,-3.26,27.05,63,1,15,0
1,0.27,3.21,27.05,58,19,16,0
1,0.27,-6.11,27.05,61,9,23,0
1,0.27,-6.22,27.03,68,13,19,0
1,0.27,-19.67,27.03,67,11,15,0
1,0.27,26.02,27.03,65,9,13,0
1,0.27,-28.75,27.03,64,9,10,0
1,0.27,-31.7,27.03,64,9,13,0
1,0.27,-13.48,27.03,65,8,11,0
1,0.27,-11.53,27.03,63,9,11,0
1,0.27,2.99,27.03,64,8,12,0
1,0.27,16.71,27.05,63,8,11,0
1,0.27,-0.03,27.05,64,8,9,0
1,0.27,-2.41,27.05,64,9,8,0
1,0.27,8.16,27.05,64,8,7,0
1,0.27,7.42,27.01,65,8,8,0
1,0.27,0.46,27.01,65,8,8,0
1,0,-0.03,30.65,-34,-34,45,0
1,0.02,5.06,30.65,-35,-34,45,0
1,0.05,17.91,30.65,-35,-34,45,0
1,0.04,79.34,30.65,-34,-33,45,0
1,0.04,228.25,30.65,-34,-34,44,0
1,0.05,-486.5,30.65,-34,-34,45,0
1,0.05,-5.9,30.65,-35,-34,45,0
1,0.05,156.15,30.65,-35,-34,45,0
1,0.04,46.78,30.63,-34,-34,45,0
1,0.04,4.05,30.63,-33,-33,46,0
1,0.05,0.16,30.63,-35,-33,45,0
1,0.05,0.85,30.63,-35,-33,45,0
1,0.05,3.75,30.61,-35,-34,45,0
1,0.05,14.72,30.61,-35,-33,45,0
1,0.05,13.63,30.61,-35,-34,45,0
1,0.05,-13.9,30.61,-35,-33,45,0
1,0.05,16.74,30.59,-35,-33,45,0
1,0.05,68.02,30.59,-35,-34,45,0
1,0.05,53.78,30.59,-35,-34,45,0
1,0.05,-271.96,30.59,-35,-33,45,0
1,0.05,-20.27,30.57,-35,-33,45,0
1,0.05,29.45,30.57,-35,-33,45,0
1,0.05,33.27,30.57,-34,-34,45,0
1,0.05,24.06,30.57,-35,-33,45,0
1,0.04,-3.93,30.57,-36,-33,45,0
1,0.05,11.8,30.57,-35,-34,45,0
1,0.05,10.99,30.57,-35,-33,45,0
1,0.05,-23.35,30.57,-34,-34,46,0
1,0.05,11.13,30.53,-34,-34,46,0
1,0.05,20.12,30.53,-35,-34,46,0
1,0.05,19.03,30.53,-34,-33,46,0
1,0.05,-27.8,30.53,-35,-34,45,0
1,0.05,-35.67,30.51,-36,-34,44,0
1,0.05,-54.91,30.51,-34,-34,45,0
1,0.05,-11.77,30.51,-35,-33,45,0
1,0.05,-6.1,30.51,-35,-33,45,0
1,0.05,75.83,30.49,-35,-33,45,0
1,0.05,19.81,30.49,-35,-33,44,0
1,0.04,-10.68,30.49,-35,-33,45,0
1,0.04,-32.5,30.49,-35,-34,45,0
1,0.04,12.83,30.47,-35,-34,45,0
1,0.04,7.02,30.47,-35,-33,44,0
1,0.05,-24.41,30.47,-34,-33,45,0
1,0.05,14.03,30.47,-36,-34,44,0
1,0.05,-0.22,30.47,-35,-33,45,0
1,0.04,-6.34,30.47,-35,-34,45,0
1,0.04,10.81,30.47,-35,-33,45,0
1,0.05,-1.19,30.47,-35,-34,45,0
1,0.04,-34.24,30.43,-35,-34,44,0
1,0.05,15.32,30.43,-35,-33,45,0
1,0.04,-6.69,30.43,-35,-33,45,0
1,0.05,-6.35,30.43,-35,-33,45,0
1,0.04,16.36,30.41,-35,-33,45,0
1,0.04,-0.63,30.41,-35,-32,46,0
1,0.05,8.76,30.41,-35,-35,46,0
1,0.04,19.55,30.41,-29,-35,45,0
1,0.04,-8.56,30.41,-28,-36,48,0
1,0.04,-28.93,30.41,-31,-35,47,0
1,0.05,-35.5,30.41,-31,-34,46,0
1,0.05,31.11,30.41,-28,-33,47,0
1,0.04,3.65,30.37,-31,-37,44,0
1,0.04,7.65,30.37,-32,-34,47,0
1,0.04,-12.42,30.37,-34,-34,46,0
1,0.04,24.08,30.37,-33,-34,46,0
1,0.04,10.79,30.33,-33,-34,46,0
1,0.04,-21.66,30.33,-32,-34,46,0
1,0.05,39.22,30.33,-32,-34,46,0
1,0.04,18.06,30.33,-33,-34,47,0
1,0.05,-2.45,30.35,-31,-34,47,0
1,0.04,8.81,30.35,-34,-34,47,0
1,0.05,-27.45,30.35,-31,-34,46,0
1,0.04,-88.57,30.35,-32,-35,47,0
1,0.05,129.69,30.33,-32,-35,44,0
1,0.04,71.9,30.33,-28,-36,46,0
1,0.04,-17.78,30.33,-29,-32,44,0
1,0.05,15.56,30.33,-33,-33,48,0
1,0.04,11.98,30.33,-35,-34,45,0
1,0.05,-30.2,30.33,-35,-34,44,0
1,0.04,-3.09,30.33,-35,-34,45,0
1,0.05,-47.95,30.33,-35,-34,45,0
1,0.04,-11.93,30.29,-35,-34,44,0
1,0.05,6.43,30.29,-35,-34,45,0
1,0.05,24.75,30.29,-39,-34,44,0
1,0.04,-6.94,30.29,-35,-34,44,0
1,0.05,40.51,30.27,-33,-34,46,0
1,0.05,0.81,30.27,-23,-34,51,0
1,0.05,12.81,30.27,-19,-36,53,0
1,0.05,18.53,30.27,-22,-36,52,0
1,0.05,-32.27,30.23,-19,-34,52,0
1,0.05,122.83,30.23,-18,-33,52,0
1,0.05,-26.59,30.23,-21,-32,53,0
1,0.05,-5.26,30.23,-26,-31,51,0
1,0.05,158.36,30.23,-25,-31,52,0
1,0.05,-160.16,30.23,-27,-32,51,0
1,0.05,6.42,30.23,-24,-32,52,0
1,0.05,7.07,30.23,-27,-32,50,0
1,0.05,-44.35,30.23,-31,-32,49,0
1,0.05,-41.76,30.23,-35,-32,47,0
1,0.05,-64.02,30.23,-36,-31,47,0
1,0.05,113.12,30.23,-37,-32,46,0
1,0.05,-82.06,30.21,-36,-32,44,0
1,0.05,59.42,30.21,-43,-33,38,0
1,0.05,-158.5,30.21,-50,-33,31,0
1,0.05,30.16,30.21,-48,-33,33,0
1,0.05,286.99,30.21,-48,-33,33,0
1,0.05,107.75,30.21,-48,-33,32,0
1,0.05,2.3,30.21,-48,-33,32,0
1,0.05,-414.58,30.21,-48,-33,31,0
1,0.05,-227.58,30.19,-48,-32,33,0
1,0.05,33.68,30.19,-49,-33,31,0
1,0.05,65.26,30.19,-48,-32,32,0
1,0.05,83.47,30.19,-49,-33,32,0
1,0.05,31.73,30.17,-49,-32,32,0
1,0.05,-31.98,30.17,-48,-32,32,0
1,0.05,27.13,30.17,-48,-33,33,0
1,0.05,28.14,30.17,-48,-32,33,0
1,0.05,19.9,30.15,-47,-34,32,0
1,0.05,102.95,30.15,-48,-33,33,0
1,0,-0.03,33.49,-20,-17,56,0
1,0.16,5.06,33.49,-24,-17,61,0
1,0.23,17.91,33.49,-26,-15,59,0
1,0.22,79.34,33.49,-26,-13,61,0
1,0.22,228.25,33.49,-27,-15,58,0
1,0.23,-486.48,33.49,-22,-15,58,0
1,0.23,-5.1,33.49,-24,-14,62,0
