LIIK;TYYP;MARK;MUDEL;KATEGOORIA;KERE_MATERJAL;PIKKUS;LAIUS;SYVIS;EHITUSAASTA;ESMANE_REG_KP;MOOTORITE_ARV;MOOTORITE_VOIMSUS;VKOM_MAAKOND;VKOM_TYYP
ALLA12MLAEV;KALAPAAT;MÄÄRAMATA;-;C;PUIT;8.5;2.8;0.43;1984;;1;20.0;Pärnu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;SEA NYMPH;FM 161;C;ALUMIINIUM;4.8;1.8;0.3;1991;;1;60.0;Lääne;FYYSILINE
VÄIKELAEV;MOOTORPAAT;VBOATS;FISHPRO X3;D;ALUMIINIUM;5.1;2.3;0.29;;2022-05-12;1;59.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;FJORD;D;PLASTIK;4.3;1.39;0.2;1987;;1;5.0;Jõgeva;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;4.25;1.5;0.25;1989;;0;4.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;AQUADOR;28 HT;C;PLASTIK;8.25;3.05;1.0;2022;2022-05-06;1;272.0;Tartu;JURIIDILINE
ALLA12MLAEV;KALAPAAT;GRAND;S470 ;C;PLASTIK;4.7;2.05;0.2;2010;;1;52.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;CATRAN;ENDURO 285PG;C;KANGAS;2.85;1.51;0.15;2007;;0;7.5;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;VIIKING;380 CLASSIC;D;PLASTIK;3.85;1.41;0.22;2012;;0;4.3;Viljandi;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;VELES;300;D;KANGAS;3.0;1.45;0.15;2011;;0;10.0;;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KAZANKA;-;D;ALUMIINIUM;4.6;1.25;0.25;1966;;1;6.0;Viljandi;FYYSILINE
JETT;;SEA-DOO;RXP-X 300 RS;C;;3.27;1.22;;2022;2022-07-06;1;217.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;-;-;C;ALUMIINIUM;4.65;1.7;0.0;1985;;0;5.0;Harju;FYYSILINE
ALLA12MLAEV;KALAPAAT;LAPPAJA;-;C;PUIT;8.4;2.65;0.7;1986;;1;40.0;Lääne;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;BAYLINER;175;C;PLASTIK;5.33;2.13;0.0;2004;;1;99.3;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SÄRKI;570;C;PLASTIK;5.7;2.35;0.6;1985;2017-08-07;1;67.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;FJORD;D;PLASTIK;4.3;1.4;0.1;1987;;0;0.0;Võru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;SAARE;14 ;D;PUIT;4.3;1.6;0.3;2006;;1;3.6;Harju;FYYSILINE
JETT;;SEA DOO;RXP;C;;3.06;1.22;;2005;;1;160.0;Pärnu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;GRAND;C360;C;KANGAS;3.6;1.82;;2013;;1;22.1;;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;2M;C;ALUMIINIUM;4.65;1.7;0.3;1989;;1;22.0;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;AKVEREX;TRELO;D;PLASTIK;3.35;1.4;0.5;2016;2017-01-13;1;6.6;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;YAMARIN;580;C;PLASTIK;5.8;2.2;0.0;1991;;1;105.0;Võru;FYYSILINE
JETT;;SEA-DOO;GTX LTD 300;C;;3.35;1.25;;;2020-05-04;1;217.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;PLASTIK;4.1;1.38;0.0;1990;;0;6.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KOLIBRI;KM 260;D;KANGAS;2.6;1.4;0.14;2015;;1;3.7;Jõgeva;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KIILI PAAT;440;D;PLASTIK;4.4;1.6;0.2;2005;;1;6.0;Lääne-Viru;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;NÕROK;41N;D;KUMM;2.55;1.11;;2000;;0;;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;KAZANKA;-;D;ALUMIINIUM;4.63;1.2;0.2;1958;;1;6.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KEFAL;-;D;PUIT;3.8;1.3;0.15;1991;;1;6.0;Ida-Viru;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;SKIPP;400;D;PLASTIK;4.0;1.42;0.25;2013;2014-11-18;1;3.0;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;2M;D;ALUMIINIUM;4.65;1.7;0.3;1988;;1;22.0;Ida-Viru;FYYSILINE
VÄIKELAEV;KALAPAAT;-;-;D;PLASTIK;4.1;1.38;0.3;1991;;0;4.0;Hiiu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KASSE;430R;D;PLASTIK;4.33;1.68;0.26;2014;2014-09-15;1;4.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;STINGRAY;180 RS;C;PLASTIK;5.3;2.2;0.55;2000;;1;99.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;2M;D;ALUMIINIUM;4.65;1.7;0.0;1986;;1;22.0;Lääne-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;FINVAL;475 EVO DC;C;ALUMIINIUM;4.72;2.12;0.3;2021;2021-09-06;1;75.0;Harju;JURIIDILINE
VÄIKELAEV;SÕUDEPAAT;PELLA;-;C;PLASTIK;4.1;1.4;0.2;1987;;1;3.7;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MÄÄRAMATA;-;C;PLASTIK;7.1;2.4;;;2022-03-04;1;30.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;PROGRESS;2M;C;ALUMIINIUM;4.65;1.7;0.2;1972;;1;5.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;D;PLASTIK;4.3;1.39;0.2;1991;;0;4.0;Lääne;FYYSILINE
ALLA12MLAEV;KALAPAAT;SKIPP;400 ;D;PLASTIK;4.0;1.42;0.25;2015;;1;3.0;Lääne;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MARE;470;C;PLASTIK;4.7;1.75;0.4;2012;;1;15.0;Harju;FYYSILINE
VÄIKELAEV;MOOTORPAAT;KAZANKA;5;D;ALUMIINIUM;4.6;1.65;0.15;1980;;1;37.0;Tartu;FYYSILINE
ALLA12MLAEV;KALAPAAT;ROBUST;15M ;D;PLASTIK;4.72;1.75;0.31;2021;2021-08-05;1;25.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;SILVER FOX;-;C;ALUMIINIUM;4.7;1.9;1.05;2000;;1;37.0;Harju;FYYSILINE
JETT;;YAMAHA MOTOR CORP.;1100T;D;;2.82;1.1;;1996;;1;81.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;2.5;1.1;0.0;2001;;0;0.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;OMAVALMISTATUD;-;C;PUIT;4.15;1.28;0.26;1999;;1;4.0;Tartu;FYYSILINE
VÄIKELAEV;MOOTORPAAT;SUJU;GTK;D;PLASTIK;4.25;1.72;0.25;1986;;1;23.0;Ida-Viru;FYYSILINE
VÄIKELAEV;PURJEJAHT;BELLONA;23;C;PLASTIK;7.05;2.51;1.35;1982;;1;5.0;Harju;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;BLAGG;480;C;PLASTIK;4.8;1.85;0.5;;2020-06-08;1;85.0;Pärnu;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;FINNSPORT;650 AC;C;PLASTIK;6.5;2.48;0.6;1990;2015-05-07;1;110.0;Harju;FYYSILINE
VÄIKELAEV;PURJEJAHT;ALBIN;57;C;PLASTIK;5.74;2.41;0.6;1980;;1;3.0;Võru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;DULKAN;D325;C;KANGAS;3.25;1.54;0.15;2017;2018-08-30;1;11.2;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;C-440;-;D;PLASTIK;4.4;1.65;0.25;2014;2014-09-29;1;14.7;Valga;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;KOLIBRI;KM 330;C;KANGAS;3.3;1.6;0.37;2014;2014-07-09;1;8.8;Pärnu;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;KUMM;2.55;1.11;0.0;1994;;0;0.0;Harju;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;-;-;;ALUMIINIUM;4.63;1.6;0.2;1978;;0;0.0;Ida-Viru;JURIIDILINE
ALLA12MLAEV;KALAPAAT;AMUR;D;C;ALUMIINIUM;5.5;1.87;0.3;1990;;1;45.0;Jõgeva;FYYSILINE
ALLA12MLAEV;KALAPAAT;KIILI PAAT;440;D;PLASTIK;4.4;1.62;0.3;2006;;1;6.0;;JURIIDILINE
VÄIKELAEV;MOOTORPAAT;RAUGI;-;D;PLASTIK;4.0;1.6;0.25;1991;2015-07-31;1;13.0;Saare;FYYSILINE
VÄIKELAEV;SÕUDEPAAT;JOLL;280;D;PLASTIK;2.8;1.15;0.15;2004;;0;;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;MONARK;555;C;PLASTIK;5.55;2.16;0.3;1978;;1;74.0;Valga;FYYSILINE
VÄIKELAEV;MOOTORPAAT;NÄSI;420 MS;D;PLASTIK;3.96;1.5;0.2;2007;2016-06-29;1;4.5;;FYYSILINE
VÄIKELAEV;PURJEJAHT;BIRKA MARIN;ROCK 20;B;PLASTIK;7.3;2.25;1.2;1971;;1;4.4;Saare;FYYSILINE
VÄIKELAEV;MOOTORPAAT;HONWAVE;T35AE2;D;KANGAS;3.53;1.71;;2010;;1;15.0;Ida-Viru;FYYSILINE
VÄIKELAEV;MOOTORPAAT;-;-;C;PUIT;6.0;1.6;0.0;1984;;0;6.0;Harju;FYYSILINE
